Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 5A2111E02041

Model Number: AP8853
RPDU Serial Number: 5A2111E02646
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	09:34:31	apc48764F	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:5A2111E02646)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	10:31:15	1.12	1.15	26902.1	   	   	5.2	5.3	2.1	3.2	2.1	3.3	
02/09/2025	10:21:15	1.12	1.26	26901.9	   	   	5.2	5.8	2.1	3.2	2.1	3.7	
02/09/2025	10:11:15	1.12	1.15	26901.7	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	10:01:15	1.12	1.12	26901.5	   	   	5.2	5.2	2.1	3.2	2.1	3.2	
02/09/2025	09:51:15	1.12	1.14	26901.4	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	09:41:15	1.12	1.15	26901.2	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	09:31:15	1.12	1.15	26901.0	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	09:21:15	1.12	1.12	26900.8	   	   	5.2	5.2	2.1	3.2	2.1	3.2	
02/09/2025	09:11:15	1.12	1.12	26900.6	   	   	5.2	5.2	2.1	3.2	2.1	3.2	
02/09/2025	09:01:15	1.12	1.15	26900.4	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	08:51:14	1.12	1.12	26900.2	   	   	5.2	5.2	2.1	3.2	2.1	3.2	
02/09/2025	08:41:14	1.12	1.12	26900.1	   	   	5.2	5.2	2.1	3.2	2.1	3.2	
02/09/2025	08:31:14	1.12	1.12	26899.9	   	   	5.2	5.2	2.1	3.2	2.1	3.2	
02/09/2025	08:21:14	1.12	1.12	26899.7	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	08:11:14	1.12	1.12	26899.5	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	08:01:14	1.12	1.12	26899.3	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	07:51:14	1.12	1.12	26899.1	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	07:41:14	1.12	1.12	26899.0	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	07:31:14	1.12	1.12	26898.8	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	07:21:14	1.10	1.12	26898.6	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	07:11:14	1.10	1.12	26898.4	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	07:01:14	1.10	1.12	26898.2	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	06:51:14	1.10	1.12	26898.0	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	06:41:14	1.10	1.12	26897.9	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	06:31:14	1.10	1.12	26897.7	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	06:21:14	1.10	1.10	26897.5	   	   	5.1	5.1	2.1	3.1	2.1	3.1	
