Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 0A2110G04928

Model Number: AP8853
RPDU Serial Number: 0A2110G05188
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	17:54:56	apc488888	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:0A2110G05188)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	15:34:47	0.63	0.63	12663.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	15:24:47	0.63	0.63	12663.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	15:14:47	0.63	0.63	12663.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	15:04:47	0.63	0.63	12663.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	14:54:47	0.63	0.63	12663.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	14:44:47	0.63	0.63	12663.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	14:34:47	0.63	0.63	12663.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	14:24:46	0.63	0.63	12662.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	14:14:46	0.63	0.63	12662.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	14:04:46	0.63	0.63	12662.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	13:54:46	0.63	0.63	12662.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	13:44:46	0.63	0.63	12662.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	13:34:46	0.63	0.63	12662.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	13:24:46	0.63	0.63	12662.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	13:14:46	0.63	0.63	12662.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	13:04:46	0.63	0.63	12662.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	12:54:46	0.63	0.63	12661.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
